NSE_code,Industry,Current_price,Fcf 3years,Fcf 5years,Fcf 7years,Fcf 10years,Market_capitalization,avg_fcf,intrinsic_value,undervalued_score
DBCORP,Entertainment / Electronic Media Software,343.1,1096.48,1728.55,2084.54,2887.68,6112.6,1949.3125,1627.9013847715194,1284.8013847715192
BRITANNIA,Food - Processing - MNC,5445.45,4721.66,7599.93,9183.92,10614.0,131163.64,8029.8775000000005,6705.876406064019,1260.426406064019
USHAMART,Steel - Medium / Small,386.05,422.81,807.35,2661.57,3904.45,11764.56,1949.045,1627.6779913338712,1241.6279913338713
IRCTC,Travel Agencies,995.5,1895.16,2439.7,2874.11,3445.22,79640.0,2663.5474999999997,2224.370214449822,1228.870214449822
BOMDYEING,Textiles - Manmade,211.25,1681.32,2429.78,1442.86,1216.68,4363.03,1692.66,1413.5668641879433,1202.3168641879433
PENINLAND,Construction,70.58,830.07,1597.11,2314.3,1338.84,2178.8,1520.08,1269.4426044892705,1198.8626044892706
FACT,Fertilizers,1030.05,942.07,3074.1,3289.2,3286.81,66651.63,2648.045,2211.423834011888,1181.3738340118882
SARDAEN,Steel - Medium / Small,232.0,1616.37,1485.33,1690.13,1886.06,8175.24,1669.4724999999999,1394.2026199431698,1162.2026199431698
MHRIL,Hotels,462.75,1109.63,1789.8,2236.51,2499.36,9345.33,1908.8250000000003,1594.0896396993792,1131.3396396993792
BSOFT,Computers - Software - Medium / Small,710.75,1422.4,2213.66,2344.05,2804.48,19622.42,2196.1475,1834.0371574144785,1123.2871574144785
BDL,Engineering,1616.0,2780.8,4239.64,3724.74,2294.01,59236.51,3259.7975,2722.307923601135,1106.307923601135
HAVELLS,Electric Equipment,1848.9,2645.3,3619.53,3131.9,4753.38,115867.4,3537.5275,2954.2445943979387,1105.3445943979386
QUESS,Diversified - Large,616.65,1268.68,2226.91,2356.61,2338.64,9157.79,2047.71,1710.0746774108761,1093.424677410876
HINDCOPPER,Mining / Minerals / Metals,324.5,1487.93,1982.09,1809.42,1511.08,31379.92,1697.63,1417.7173889921062,1093.2173889921062
GSFC,Fertilizers,247.0,415.4,1842.0,1910.12,2230.61,9842.42,1599.5325000000003,1335.7946310491782,1088.7946310491782
GLAXO,Pharmaceuticals - Multinational,2653.7,3395.7,4267.51,5073.26,5155.59,44955.31,4473.015,3735.4848504812744,1081.7848504812746
IEX,Miscellaneous,187.5,1032.57,1443.44,1588.85,1965.87,16719.24,1507.6825,1259.0892581593696,1071.5892581593696
LTFOODS,Food - Processing - Indian,263.55,1035.97,1774.35,1594.41,1942.12,9151.83,1586.7124999999999,1325.0884483551404,1061.5384483551404
SUZLON,Electric Equipment,52.79,1485.36,938.03,1194.06,1708.42,71343.99,1331.4675,1111.9293530556404,1059.1393530556404
