NSE_code,Industry,Current_price,Fcf 3years,Fcf 5years,Fcf 7years,Fcf 10years,Market_capitalization
NAM-INDIA,Finance & Investments,668.2,1913.54,2950.83,3689.33,4153.39,42190.27
CORALFINAC,Finance - Housing,50,31.17,43.25,49.5,53.64,201.5
CORDSCABLE,Cables - Power,234,73.53,120.69,140.45,202.96,302.51
3MINDIA,Diversified - Large,37310,1183.71,1656.21,1900.33,2674.26,42048.39
CCHHL,Hotels,18.29,89.4,275.56,403.49,466.48,298.97
KEI,Cables - Power,4467,795.8,833.32,1459.88,1638.01,40310.86
AIAENG,Castings & Forgings,4224.55,1203.97,2227.67,2375.72,3069.29,39846.12
GET&D,Electric Equipment,1540,418.78,451.64,1133.24,1558.58,39431.68
CROWN,Miscellaneous,325,11.19,36.04,53.18,40.34,364.76
ENDURANCE,Auto Ancillaries,2701.95,699.4,1473.69,2010.1,2509.59,38006.41
MRPL,Refineries,215.55,15055.39,10135.04,13485.22,10664.97,37777.26
CUPID,Miscellaneous,90.5,14.65,60.41,73.26,107.2,2429.65
CYBERMEDIA,Entertainment / Electronic Media Software,25.89,11.59,13.21,14.03,29.88,40.57
CYBERTECH,Computers - Software - Medium / Small,182.8,85.42,119.74,136.63,129.92,569.08
JUBLFOOD,Hotels,571,823.7,1801.03,2351.9,2330.96,37677.18
COFORGE,Computers - Software - Medium / Small,5536.4,2058.5,2971.7,3651.3,4309.85,36922.57
DPWIRES,Steel - Medium / Small,452.35,54.01,88.36,62.91,57.12,701.15
IGL,Miscellaneous,517.25,2003.01,3063.59,3949.51,5495.76,36207.54
FORTIS,Healthcare,478.7,1289.02,1597.9,1774.14,2120.35,36139.85
NATIONALUM,Aluminium and Aluminium Products,192.2,3231.92,3029.17,5443.4,6665.44,35300.08
BSE,Miscellaneous,2600.75,3840.22,4093.58,3417.23,3845,35207.99
DAMODARIND,Textiles - Spinning - Synthetic / Blended,52.76,158.19,220.81,20.79,99.35,122.93
DEEPAKNTR,Chemicals,2549,1037.29,2173.82,1542.11,1448.86,34766.57
DBSTOCKBRO,Finance & Investments,47.37,26.39,39.97,51.21,57.73,165.8
DCM,Castings & Forgings,78.33,31.75,66.11,225.3,233.38,146.29
APOLLOTYRE,Tyres,541.15,4476.77,5479.18,2928.83,1855.68,34368.51
DCW,Petrochemicals,55.75,442.53,796.47,1088.65,1216.64,1645.47
DENORA,Engineering,1681,30.37,36.52,27.39,51.05,892.6
DELPHIFX,Finance & Investments,211.3,33.57,87.41,152.46,253.32,235.13
MFSL,Finance & Investments,983.5,24005.08,36144.47,52357.58,64776.44,33942.03
DIGISPICE,Computers - Software - Medium / Small,52,165.2,319.96,242.91,22.44,1208.81
DNAMEDIA,Entertainment / Electronic Media Software,4.94,149.33,431,430.27,301.54,58.14
DISHTV,Entertainment / Electronic Media Software,15.74,905.73,3230.95,3690.24,3935.45,2898.2
TATAINVEST,Finance & Investments,6560,586.43,789.08,947.68,1196.83,33190.5
EMAMILTD,Personal Care - Indian,759.15,1632.58,2904.73,3790.16,5093.62,33136.94
SKFINDIA,Bearings,6661.05,1047.19,1572.39,2029.98,2283.75,32930.86
CARBORUNIV,Abrasives And Grinding Wheels,1727.05,181.44,813.91,1041.82,1667.42,32858.39
CRISIL,Miscellaneous,4435.9,1568.78,2453.39,3058.42,3803.64,32436.99
TIMKEN,Bearings,4306.75,313.65,658.28,757.24,842.21,32394.84
DRSDILIP,Miscellaneous,135,38.98,56.95,57.23,90.58,203.34
DWARKESH,Sugar,74.18,356.58,532.7,491.61,495.93,1374.57
HINDCOPPER,Mining / Minerals / Metals,324.5,1487.93,1982.09,1809.42,1511.08,31379.92
GRINDWELL,Abrasives And Grinding Wheels,2818.9,337.47,888.14,1001.43,1287.9,31210.86
BAYERCROP,Pesticides / Agrochemicals - Multinational,6902.8,1617.1,2910.6,3368.4,3943.4,31022.67
EDELWEISS,Finance & Investments,66.36,9980.19,25672.75,18080.03,4163.07,6263.55
ARE&M,Auto Ancillaries,1652.4,1227.33,2010.02,1959.48,2135.01,30243.14
SUNTV,Entertainment / Electronic Media Software,761.2,3939.64,6170.63,8296.35,11042.37,29997.71
ZFCVINDIA,Auto Ancillaries,15680.75,144.64,344.9,591.34,907.74,29730.7
IPCALAB,Pharmaceuticals - Indian - Bulk Drugs & Formln,1142.55,1272.12,2279.99,2807.9,3211.16,28986.99
AJANTPHARM,Pharmaceuticals - Indian - Formulations,2289.85,1695.64,2340.79,2391.48,2909.37,28833.28
TATACHEM,Chemicals,1111.8,3000,4414.42,6055.73,11297.8,28324.23
SUNDRMFAST,Auto Ancillaries,1347,633.51,1294.87,1314.67,1701.78,28304.28
EMAMIPAP,Paper,117.7,642.81,1155.43,1216.17,546.04,712.07
EMMBI,Packaging,113,29.39,18.83,27.81,47.38,199.91
EIHOTEL,Hotels,421.8,984.46,921.21,1009.04,1337.41,26377.89
ENERGYDEV,Power Generation And Supply,24,57.26,90.61,121.76,124.63,114.02
RATNAMANI,Steel - Medium / Small,3649.4,48.33,382.23,628.68,855.68,25579.4
EROSMEDIA,Entertainment / Electronic Media Software,19.5,495.44,637.73,295.43,566.13,187.01
CDSL,Miscellaneous,2411,611.67,859.13,936.79,1041.22,25194.95
ESSARSHPNG,Shipping,49.4,1064.55,1282.47,2155.98,3554.29,1022.5
NH,Healthcare,1217.5,897.37,1460.8,1569.6,1726.27,24880.91
FINCABLES,Cables - Power,1599.1,1089.98,1426.55,1735.09,2326.22,24456.51
SUMICHEM,Pesticides / Agrochemicals - Indian,487.1,1075.9,1641.53,1683.12,1411.05,24313.35
GILLETTE,Personal Care - Multinational,7437.6,1082.19,1330.57,1677.06,2015.02,24239.14
LALPATHLAB,Healthcare,2832.65,862.94,1406.87,1708.5,2030.94,23647.04
ELGIEQUIP,Compressors / Drilling Equipment,735.15,399.52,604.43,732,988.24,23297.61
KAJARIACER,Ceramics - Tiles / Sanitaryware,1451.2,572.64,1083.32,1386.73,1544.64,23111.54
ANGELONE,Finance & Investments,2551.15,654.01,72.14,433.69,117.2,22975.16
FCSSOFT,Computers - Software - Medium / Small,4.1,18.06,9.57,50.29,47.69,700.92
KEC,Transmisson Line Towers / Equipment,889.05,96.32,707.64,1322.2,3087.38,22856.42
CIEINDIA,Castings & Forgings,596.9,2119.28,2970.08,3487.08,4209.94,22644.13
GODFRYPHLP,Cigarettes,4264.95,1333.02,1767.04,2456.68,2776.17,22175.14
KANSAINER,Paints / Varnishes,273.5,760.02,1661.3,1253.32,1905.96,22109.18
FILATEX,Textiles - Manmade,57.65,529.02,631.54,683.4,563.81,2558.82
SCHNEIDER,Electric Equipment,916.8,286.95,276.15,380.95,198.29,21920.68
BASF,Chemicals,5033.45,1382.61,2314.81,2418.22,2487.35,21789.82
NATCOPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,1214.95,1386.5,1558.9,1840.9,1838.3,21760.97
CESC,Power Generation And Supply,161,4603.9,9230.42,12279.87,13689.7,21341.66
PFIZER,Pharmaceuticals - Multinational,4614.8,1183.68,1936.25,2323.38,3209.37,21111.64
FLEXITUFF,Packaging,30.9,118.69,257.44,503.72,563.53,83.07
SOBHA,Construction,1961.7,2429.92,2996.51,3392.42,3715.58,20981.12
CHAMBLFERT,Fertilizers,519.7,5575.21,12460.09,8876.21,9489.96,20821.91
RELAXO,Leather / Leather Products,831.9,125.97,720.23,797.85,890.31,20709.21
CASTROLIND,Chemicals,208.85,2114.29,3763.52,4807.85,6649.52,20657.88
CYIENT,Computers - Software - Medium / Small,1848.95,1708.5,2838,3213.5,3961.17,20507.83
FINPIPE,Plastics Products,327.6,1319.5,2241.81,2697.01,3573.27,20326.88
RAYMOND,Textiles - Products,3045.05,1684.9,2584.94,2493.07,2814.47,20272.08
GANDHITUBE,Steel - Medium / Small,801.7,107.4,156.59,215.85,274.2,974.23
NCC,Construction,321.15,3234.25,4815.42,5363.8,6401.47,20163.31
MCX,Miscellaneous,3901.75,757.37,973.63,1277.43,1337.36,19898.93
BSOFT,Computers - Software - Medium / Small,710.75,1422.4,2213.66,2344.05,2804.48,19622.42
VINATIORGA,Chemicals,1890.65,384.6,800.41,886.84,1065.42,19599.56
TRITURBINE,Electric Equipment,613.25,815.77,1166.26,1342.91,1498.21,19493.77
GEEKAYWIRE,Steel - Medium / Small,92.52,71.19,55.37,43.12,20.47,483.51
HSCL,Chemicals,395,637.57,597.78,1064.65,1731.36,19462.41
IDFC,Finance & Investments,121.3,5085.85,3822.5,6472.79,12431.21,19407.81
GFLLIMITED,Finance & Investments,82.36,491.46,1276.19,1799.3,1147.38,904.71
BATAINDIA,Leather / Leather Products,1510,1058.15,1979.47,2327.02,2685.55,19407.62
GILLANDERS,Diversified - Medium / Small,101.93,129.36,341.81,481.62,587,217.5
BLUEDART,Couriers,8125.25,1421.52,2177.9,2253.73,2656.53,19281.19
GINNIFILA,Textiles - Cotton/Blended,31.9,37.27,149.43,197.23,385.59,273.22
VGUARD,Electric Equipment,432.7,521.28,734.12,849.06,1130.34,18815.1
GLOBAL,Miscellaneous,170.15,41.12,43.51,37.55,41.5,346.44
KPIL,Transmisson Line Towers / Equipment,1148.7,913.58,2083.34,2410.46,3189.98,18660.17
GLOBALVECT,Transport - Airlines,204,239.02,316.74,394.87,582.24,285.6
BEML,Engineering,4469.15,964.93,668.1,925.07,1624.3,18609.56
LAXMIMACH,Textile Machinery,17291.75,513.2,647.46,654.15,655.45,18472.79
BIKAJI,Food - Processing - Indian,724.7,186.09,248.52,250.93,140.1,18145.16
GOACARBON,Petrochemicals,800,36.2,21.29,151.03,185,731.99
APLLTD,Pharmaceuticals - Indian - Bulk Drugs & Formln,912.5,897.79,1416.77,970.71,1913.58,17936.4
KIRLOSBROS,Pumps,2206.4,506.58,919.71,973.99,1062.32,17520.74
GESHIP,Shipping,1227.1,6059.22,8457.15,9435.8,10844.46,17518.98
JINDALSAW,Steel - Large,546.55,2841.68,5121.83,6569.69,6985.9,17476.16
GOKUL,Solvent Extraction,39.4,21.87,80.88,510.04,622,390.05
GOLDENTOBC,Construction,43.8,46.91,112.06,226.1,200.46,77.13
ACE,Engineering,1461.55,565.26,645.01,753.39,871.86,17404.64
ASTERDM,Healthcare,346.6,1164.19,3061.81,3147.96,1871.13,17313.13
GULFPETRO,Chemicals,67.35,124.88,178.69,129.07,140.98,343.36
ZENSARTECH,Computers - Software - Medium / Small,759.1,1586.8,3013.63,3272.34,4037.35,17206.46
SONATSOFTW,Computers - Software - Medium / Small,610.35,948.48,1749.32,2018.18,2417.99,17115.72
GSPL,Miscellaneous,299.9,5068.22,9176.94,11390.88,13201.2,16920.74
DATAPATTNS,Electronics - Components,3017,9.43,60.11,62.97,77.24,16890.37
GRETEX,Trading,127.35,5.11,5.92,5.86,4.7,53.63
KARURVYSYA,Banks - Private Sector,209,4257.81,9915.83,7441.6,9045.94,16812.73
KSB,Pumps,4809.9,6.87,285.42,213.94,348.44,16743.26
GTL,Telecommunications - Service Provider,13.88,517.14,680.43,897.71,1407.32,218.33
GTLINFRA,Telecommunications - Equipment,3.43,1067.04,1850.16,2613.87,4397.83,4392.81
IEX,Miscellaneous,187.5,1032.57,1443.44,1588.85,1965.87,16719.24
JYOTHYLAB,Personal Care - Indian,453.7,941.09,1447.55,1957.36,2379.64,16660.24
ASAHIINDIA,Glass & Glass Products,683.9,357.69,880.88,813.58,1129.34,16625.59
RITES,Engineering - Turnkey Services,689.15,887.33,1527.93,1888.24,2501.53,16560.39
GVKPIL,Engineering - Turnkey Services,11.26,2740.8,4188.74,5889.44,6654.27,1778.17
